2020-12-31 21:31:51+00:00,b'@raj_0303 @JPGR6269 @ParvinderRao3 @shahzaibarif_ @spectatorindex Every Modi bhakt trolls are an individual. Every\xe2\x80\xa6 https://t.co/b6gPnlNQ6p'
2020-12-31 21:23:31+00:00,b'@hnegutierrez @indian_patil @sbjinsfo @narendramodi No point telling her anything she\xe2\x80\x99s a true Modi Bhakt it appear\xe2\x80\xa6 https://t.co/qMddtJzNKJ'
2020-12-31 21:23:08+00:00,b'@myogiadityanath sir I am ur follower n ur complete bhakt..aapke kam ki jitni tareef karen km h..bt sir main ek bah\xe2\x80\xa6 https://t.co/cEljNyVbHv'
2020-12-31 21:19:08+00:00,"b'@DracusL @ghanshyammm @D_Roopa_IPS Better to be an ""uneducated"" bhakt than to be an engineer like Osama or a laurea\xe2\x80\xa6 https://t.co/Egk0pvNh0r'"
2020-12-31 21:18:51+00:00,b'@Workholic28 @INCIndia @Dr_Uditraj Andh bhakt h tu'
2020-12-31 21:15:12+00:00,b'@myogiadityanath @narendramodi Is raat kiii subah nahiN .....\xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa. SapnoN ka bharat ... jisme pracharmantri sapne di\xe2\x80\xa6 https://t.co/MsZfWGyFRS'
2020-12-31 21:02:23+00:00,b'@Manika_0315 @ARajeshSagar @nevileprpt @Shilpa0226 @Horse_stable13 @navin82upa @vineet1024 @dlahricDeepak\xe2\x80\xa6 https://t.co/WuHMhrUced'
2020-12-31 20:59:14+00:00,b'RT @Azadifromterro1: Terrorists were killed.Weapons are seized. Terror outfits have staged their claim.Telegram &amp; WA groups were hyper acti\xe2\x80\xa6'
2020-12-31 20:58:58+00:00,b'RT @Azadifromterro1: Terrorists were killed.Weapons are seized. Terror outfits have staged their claim.Telegram &amp; WA groups were hyper acti\xe2\x80\xa6'
2020-12-31 20:50:22+00:00,b'@just_bhakt \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
2020-12-31 20:50:18+00:00,b'@Kaalateetham Bhakt doctors fucked with mixopathy is the best example for that'
2020-12-31 20:49:02+00:00,b'@shubhamagarw26 @robinsindhi @dhruv_rathee Arre yaar aise log aur hone chahiye tabhi toh pata chalega kitne andh bhakt hai desh mein'
2020-12-31 20:48:44+00:00,"b'RT @vskutwal7: Rt if u proud to  "" Bhakt ""........\n\nHow it started \xf0\x9f\x91\x87\nHow it\'s Going \xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\n\n@lucky_s_chawla\n#PmModiShinesIn2020 https://t.co/T\xe2\x80\xa6'"
2020-12-31 20:42:52+00:00,b'@Bhakt_Pelan_TV https://t.co/gOGFjPEEtu'
2020-12-31 20:42:26+00:00,b'@vyasa1968 @darshana213 @ranjona @YayathiPuru @SanobarFatma @RahulGandhi @NayakRagini @Vakeel_Sb @priyankagandhi\xe2\x80\xa6 https://t.co/tD0MaQa1k5'
2020-12-31 20:42:02+00:00,b'@KashifKakvi islamophobia in india par bhakt chilayenge Hindu khatre me h https://t.co/ef1ReyQKrU'
2020-12-31 20:38:50+00:00,b'@Bhakt_Pelan_TV https://t.co/mvX0wRFe8q'
2020-12-31 20:37:25+00:00,"b""If you are #Modi ji supporter/#bhakt then follow me &amp; I'll follow you back. No other credentials required \xf0\x9f\x99\x8f\xe2\x80\xa6 https://t.co/c0AmgzW8qI"""
2020-12-31 20:35:12+00:00,"b""@rajmuker @WIONews @narendramodi @palkisu @8 @PlayStoreOOC You can tell me Bhakt I don't mind but my family earing bread from modern india"""
2020-12-31 20:32:04+00:00,b'@SumitkadeI u ij gudd bhakt \xf0\x9f\x98\x8d'
2020-12-31 20:27:36+00:00,b'@Bhakt_L https://t.co/GXEBRSCRwL'
2020-12-31 20:26:36+00:00,"b'RT @rubusmubu: When @ChouhanShivraj competing with Yogi in persecuting Muslims, what is CongRSS reaction? I know Rahul went to MP as a Shiv\xe2\x80\xa6'"
2020-12-31 20:26:19+00:00,b'RT @DocAritraHindu: @JoyKarmaker75 @narendramodi @badri4BJP @JM_Scindia @Anil_J_INDIA @Sowmiya07939778 @SwethaAjeeth @DetheEsha @UTPALKUMAR\xe2\x80\xa6'
2020-12-31 20:25:55+00:00,b'@iamjagjitsandhu @PSB11007 @13navreetsingh @DaughterOfAFar6 Ignore krdi jawanga??kinna krengi?\xf0\x9f\x98\x85\nTeri gndi zuban ton\xe2\x80\xa6 https://t.co/hP8yeCutiV'
2020-12-31 20:16:51+00:00,b'@faizulhasan2 @Vikrant84200613 @flyingbeast320 Tuje bhi to yhi sb dikhta hai .. har baat pe andh bhakt ... literall\xe2\x80\xa6 https://t.co/MUnlAWqWVv'
2020-12-31 20:15:21+00:00,b'@Naasrin9 and bhakt ko khud nahi pata h ki unke ketne bap h to vikas se unko kiya matlab h Amit sha ka beta karor p\xe2\x80\xa6 https://t.co/qAeBhv1x67'
2020-12-31 20:14:00+00:00,"b'RT @rubusmubu: When @ChouhanShivraj competing with Yogi in persecuting Muslims, what is CongRSS reaction? I know Rahul went to MP as a Shiv\xe2\x80\xa6'"
2020-12-31 20:13:32+00:00,b'RT @hahahasquares: Those #sidhearts also who is supporting this hypocrite lady see this..kya yhan tk bhi chlta h kya..r u really \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 fan of\xe2\x80\xa6'
2020-12-31 20:11:33+00:00,b'Those #sidhearts also who is supporting this hypocrite lady see this..kya yhan tk bhi chlta h kya..r u really \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3 fa\xe2\x80\xa6 https://t.co/9r1LXuzTXZ'
2020-12-31 20:10:43+00:00,"b'RT @rubusmubu: When @ChouhanShivraj competing with Yogi in persecuting Muslims, what is CongRSS reaction? I know Rahul went to MP as a Shiv\xe2\x80\xa6'"
2020-12-31 20:08:19+00:00,b'@Adi7ya It is easier to accuse when you just want to see one side of the story and throw your brain in the gutter.\xe2\x80\xa6 https://t.co/X7MbLv6NRr'
2020-12-31 20:07:46+00:00,b'@VeeryaSorry @NarundarM @Pun_Starr @flawsome_guy @bachpanamitabh @Satirical_Dhruv @yippeekiyay_dk @puntinational\xe2\x80\xa6 https://t.co/PKRxQgjioF'
2020-12-31 20:01:43+00:00,b'@PrasadK64256766 @Naasrin9 Tum bhakt ko lagta h tumhare baapka Bharat h aur tumlog netako hi apna baap bana liyeho\xe2\x80\xa6 https://t.co/jMtY9RenPY'
2020-12-31 20:00:33+00:00,"b'RT @rubusmubu: When @ChouhanShivraj competing with Yogi in persecuting Muslims, what is CongRSS reaction? I know Rahul went to MP as a Shiv\xe2\x80\xa6'"
2020-12-31 19:59:15+00:00,b'@INSANIYAT21 @RahulGandhi same here dogs and modi bhakt should go there because none of them can tolerate anti national'
2020-12-31 19:59:05+00:00,b'RT @Bhakt_mhakal_ki: Last circle of 2020 \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8fdhundo sb apne apne ko\xf0\x9f\x98\x85\xf0\x9f\x98\x85 https://t.co/6855XttJzK'
2020-12-31 19:58:39+00:00,"b'@Jagad_Guru1 @Swamy39 @rsprasad @mkatju @pbhushan1 Out on bail jagan gets crowned as the CM of Andy Pradesh,poses d\xe2\x80\xa6 https://t.co/6QfOJRR7zc'"
2020-12-31 19:58:04+00:00,b'@Amit60Panchal @SuvarnaVeerappa @iAnkurSingh @boxervijender This proves how this Govt operates and Andhbhakt still\xe2\x80\xa6 https://t.co/5PGDiyHCC5'
2020-12-31 19:57:10+00:00,b'RT @dslothofficials: All the TMC followers should follow each other and should mass report all the BJP Bhakt profiles.'
2020-12-31 19:56:48+00:00,"b'Danga bhadkane ki baat kare to desh heet me nahi or danga karo , masjido ko nuksaan pohnchao sahi h.. matlab baat n\xe2\x80\xa6 https://t.co/IF6WwQj7Ow'"
2020-12-31 19:55:48+00:00,b'@Being_Humor @Earnest_Runaway @ArvindKejriwal To show non acceptance ..itna simple cheez n smjh aarhi gadhedchand\n\nKya dimaag h be bhakt ch'
2020-12-31 19:55:27+00:00,"b'RT @rubusmubu: When @ChouhanShivraj competing with Yogi in persecuting Muslims, what is CongRSS reaction? I know Rahul went to MP as a Shiv\xe2\x80\xa6'"
2020-12-31 19:55:07+00:00,"b""@shuklapinku Bhai hum Mahakaal ke bhakt hain don't need anything"""
2020-12-31 19:54:51+00:00,b'@BerEngin_Binnie @BeingBhaveen Ye ladka Gook doo ji ka bhakt h\xf0\x9f\x98\x9d\xf0\x9f\x98\x82\nU should watch strong women do bong soon\xf0\x9f\x98\x82'
